date,item,min_price,mid_price,max_price
20250428,꽃게,43000,43000,43000
20250429,꽃게,42000,42000,42000
20250430,꽃게,42000,42000,42000
20250501,꽃게,43000,44000,45000
20250502,꽃게,52000,52000,52000
20250503,꽃게,55000,55000,55000
20250505,꽃게,25000,40000,55000
20250506,꽃게,53000,53000,53000
20250507,꽃게,46000,46000,46000
20250508,꽃게,43000,43000,43000
20250509,꽃게,25000,25000,25000
20250510,꽃게,25000,25000,25000
20250513,꽃게,43000,43000,43000
20250514,꽃게,43000,43000,43000
20250515,꽃게,46000,46000,46000
20250516,꽃게,46000,46000,46000
20250822,꽃게,15000,15000,15000
20250823,꽃게,14000,17333,22000
20250825,꽃게,15000,15000,15000
20250826,꽃게,15000,16000,17000
20250827,꽃게,15000,16000,17000
20250828,꽃게,15000,16333,17000
20250829,꽃게,14000,16666,19000
20250830,꽃게,17000,19666,23000
20250901,꽃게,16000,16000,16000
20250902,꽃게,15000,16500,18000
20250903,꽃게,14000,14000,14000
20250904,꽃게,15000,15000,15000
20250905,꽃게,13000,14666,16000
20250906,꽃게,16000,18000,20000
20250907,꽃게,23000,23000,23000
20250908,꽃게,17000,19000,21000
20250909,꽃게,15000,15000,15000
20250910,꽃게,15000,15000,15000
20250911,꽃게,10000,12333,15000
20250912,꽃게,11000,17000,24000
20250913,꽃게,17000,25666,33000
20250915,꽃게,11000,17000,23000
20250916,꽃게,13000,15666,19000
20250917,꽃게,13000,15333,18000
20250918,꽃게,13000,19000,23000
20250919,꽃게,11000,18333,25000
20250920,꽃게,11000,23000,35000
20250922,꽃게,13000,15500,18000
20250923,꽃게,13000,15333,18000
20250924,꽃게,12000,14333,17000
20250925,꽃게,12000,17000,22000
20250926,꽃게,13000,15500,18000
20250927,꽃게,13000,17500,23000
20250928,꽃게,13000,16500,20000
20250929,꽃게,13000,14000,15000
20250930,꽃게,13000,15500,18000
20250428,대게,29000,34750,40000
20250429,대게,28000,32000,37000
20250430,대게,29000,33333,38000
20250501,대게,29000,35666,40000
20250502,대게,25000,32800,39000
20250503,대게,28000,37500,50000
20250504,대게,28000,29000,30000
20250505,대게,33000,40600,50000
20250506,대게,27000,34000,39000
20250507,대게,35000,38000,42000
20250508,대게,33000,36000,39000
20250509,대게,30000,33250,36000
20250510,대게,32000,34500,37000
20250511,대게,31000,34000,37000
20250512,대게,38000,38000,38000
20250513,대게,28000,32000,36000
20250514,대게,30000,35500,40000
20250515,대게,30000,35250,40000
20250516,대게,32000,36600,42000
20250517,대게,28000,36400,45000
20250518,대게,30000,37500,45000
20250519,대게,34000,36500,39000
20250520,대게,34000,36333,39000
20250521,대게,28000,32500,38000
20250522,대게,25000,31500,38000
20250523,대게,22000,28500,37000
20250524,대게,24000,30600,37000
20250525,대게,20000,26000,30000
20250526,대게,25000,30500,36000
20250527,대게,25000,32000,39000
20250528,대게,34000,38333,42000
20250529,대게,23000,30857,38000
20250530,대게,26000,32200,38000
20250531,대게,23000,30833,38000
20250602,대게,25000,33000,38000
20250603,대게,26000,31750,38000
20250604,대게,29000,34000,39000
20250605,대게,31000,34000,37000
20250606,대게,27000,31250,35000
20250607,대게,30000,34200,39000
20250608,대게,25000,32800,39000
20250609,대게,30000,32666,37000
20250610,대게,19000,26400,35000
20250611,대게,23000,28666,37000
20250612,대게,23000,29285,36000
20250613,대게,20000,27375,36000
20250614,대게,25000,30400,35000
20250615,대게,19000,21500,24000
20250616,대게,25000,30250,35000
20250617,대게,19000,27333,38000
20250618,대게,19000,29166,37000
20250619,대게,28000,32500,37000
20250620,대게,24000,31333,37000
20250621,대게,25000,31250,37000
20250624,대게,26000,31250,37000
20250625,대게,27000,31000,37000
20250626,대게,28000,31666,37000
20250627,대게,25000,31200,37000
20250628,대게,25000,31250,37000
20250629,대게,25000,31666,37000
