date,item,min_price,mid_price,max_price
20250428,꽃게,43000,43000,43000
20250429,꽃게,42000,42000,42000
20250430,꽃게,42000,42000,42000
20250501,꽃게,43000,44000,45000
20250502,꽃게,52000,52000,52000
20250503,꽃게,55000,55000,55000
20250505,꽃게,25000,40000,55000
20250506,꽃게,53000,53000,53000
20250507,꽃게,46000,46000,46000
20250508,꽃게,43000,43000,43000
20250509,꽃게,25000,25000,25000
20250510,꽃게,25000,25000,25000
20250513,꽃게,43000,43000,43000
20250514,꽃게,43000,43000,43000
20250515,꽃게,46000,46000,46000
20250516,꽃게,46000,46000,46000
20250428,대게,29000,34750,40000
20250429,대게,28000,32000,37000
20250430,대게,29000,33333,38000
20250501,대게,29000,35666,40000
20250502,대게,25000,32800,39000
20250503,대게,28000,37500,50000
20250504,대게,28000,29000,30000
20250505,대게,33000,40600,50000
20250506,대게,27000,34000,39000
20250507,대게,35000,38000,42000
20250508,대게,33000,36000,39000
20250509,대게,30000,33250,36000
20250510,대게,32000,34500,37000
20250511,대게,31000,34000,37000
20250512,대게,38000,38000,38000
20250513,대게,28000,32000,36000
20250514,대게,30000,35500,40000
20250515,대게,30000,35250,40000
20250516,대게,32000,36600,42000
20250517,대게,28000,36400,45000
20250518,대게,30000,37500,45000
20250428,킹크랩,50000,50000,50000
20250429,킹크랩,29000,59600,88000
20250430,킹크랩,45000,64500,80000
20250501,킹크랩,37000,54900,83000
20250502,킹크랩,37000,60625,83000
20250503,킹크랩,32000,52846,87000
20250504,킹크랩,30000,59571,87000
20250505,킹크랩,35000,62800,87000
20250506,킹크랩,43000,57000,75000
20250507,킹크랩,30000,45428,65000
20250508,킹크랩,35000,45777,65000
20250509,킹크랩,27000,44444,69000
20250510,킹크랩,30000,40200,49000
20250512,킹크랩,33000,39750,49000
20250513,킹크랩,23000,32333,49000
20250514,킹크랩,26000,31500,37000
20250515,킹크랩,28000,39166,54000
20250516,킹크랩,34000,45000,58000
20250517,킹크랩,35000,51750,86000
20250518,킹크랩,25000,42000,55000
